departement,nom_reel,pop_2012,longitude_degre,latitude_degre
44,La Chapelle-sur-Erdre,17000,-1.55,47.3
78,Marly-le-Roi,16900,2.08333,48.8667
84,Le Pontet,16900,4.85,43.9667
44,Bouguenais,16800,-1.61667,47.1833
67,Lingolsheim,16800,7.68333,48.5667
35,Vitré,16700,-1.2,48.1333
41,Vendôme,16700,1.06667,47.8
44,La Baule-Escoublac,16700,-2.36667,47.3
45,Saint-Jean-de-la-Ruelle,16700,1.86667,47.9167
59,Saint-Amand-les-Eaux,16700,3.43333,50.4333
59,Faches-Thumesnil,16700,3.06667,50.5833
95,Jouy-le-Moutier,16700,2.03333,49.0167
57,Saint-Avold,16600,6.7,49.1
95,Éragny,16600,2.1,49.0167
33,Cestas,16500,-0.683333,44.7333
59,Sin-le-Noble,16500,3.11667,50.3667
94,Bonneuil-sur-Marne,16500,2.48333,48.7667
74,Cran-Gevrier,16400,6.1,45.9
78,Le Pecq,16400,2.1,48.9
83,La Crau,16400,6.06667,43.15
34,Lattes,16300,3.9,43.5667
50,Tourlaville,16300,-1.56667,49.6333
60,Senlis,16300,2.58333,49.2
70,Vesoul,16300,6.16667,47.6333
76,Montivilliers,16300,0.2,49.55
77,Montereau-Fault-Yonne,16300,2.95,48.3833
78,Le Vésinet,16300,2.11667,48.9
91,Orsay,16300,2.18333,48.7
57,Yutz,16200,6.18862,49.3589
54,Toul,16100,5.9,48.6833
78,Viroflay,16100,2.16667,48.8
31,Plaisance-du-Touch,16000,1.3,43.5667
33,Floirac,16000,-0.533333,44.8333
78,Limay,16000,1.73333,48.9833
9,Pamiers,15900,1.6,43.1167
31,Cugnaux,15900,1.36667,43.5333
77,Brie-Comte-Robert,15900,2.61667,48.6833
83,Brignoles,15900,6.06667,43.4
95,Osny,15900,2.06667,49.0667
34,Mauguio,15800,4.01667,43.6167
37,Saint-Cyr-sur-Loire,15800,0.666667,47.4
38,Saint-Égrève,15800,5.68306,45.2317
55,Bar-le-Duc,15800,5.16667,48.7833
19,Tulle,15700,1.76667,45.2667
28,Lucé,15700,1.46667,48.4333
61,Flers,15700,-0.566667,48.75
91,Verrières-le-Buisson,15700,2.26667,48.75
94,Boissy-Saint-Léger,15700,2.51667,48.75
95,Vauréal,15700,2.03333,49.0333
29,Morlaix,15600,-3.83333,48.5833
35,Bruz,15600,-1.75,48.0333
74,Sallanches,15600,6.63333,45.9333
77,Noisiel,15600,2.63333,48.85
30,Beaucaire,15500,4.63333,43.8
37,Saint-Pierre-des-Corps,15500,0.733333,47.3833
45,Montargis,15500,2.75,48
13,Fos-sur-Mer,15400,4.95,43.4333
57,Hayange,15400,6.05,49.3333
65,Lourdes,15400,-0.05,43.1
72,La Flèche,15400,-0.083333,47.7
77,Fontainebleau,15400,2.7,48.4
78,Carrières-sur-Seine,15400,2.18333,48.9167
78,Verneuil-sur-Seine,15400,1.98333,48.9833
38,L'Isle-d'Abeau,15300,5.23333,45.6167
45,Gien,15300,2.63333,47.7
45,Saran,15300,1.88333,47.95
94,Bry-sur-Marne,15300,2.51667,48.8333
35,Cesson-Sévigné,15200,-1.6,48.125
44,Guérande,15200,-2.43333,47.3333
29,Douarnenez,15100,-4.33333,48.1
62,Berck,15100,1.59278,50.4084
78,Montesson,15100,2.15,48.9167
29,Landerneau,15000,-4.25,48.45
34,Castelnau-le-Lez,15000,3.9,43.6333
62,Saint-Omer,15000,2.25,50.75
77,Lognes,15000,2.61667,48.8333
85,Sables-d'Olonne,15000,-1.78333,46.5
42,Montbrison,14900,4.05,45.6
54,Laxou,14900,6.15,48.6833
71,Autun,14900,4.3,46.95
2,Château-Thierry,14800,3.4,49.05
13,Châteaurenard,14800,4.85,43.8833
33,Blanquefort,14800,-0.633333,44.9167
42,Rive-de-Gier,14800,4.61667,45.5333
54,Villers-lès-Nancy,14800,6.15,48.6667
76,Canteleu,14800,1.03333,49.45
85,Herbiers,14800,-1.01667,46.8667
59,Hautmont,14700,3.93333,50.25
95,Saint-Leu-la-Forêt,14700,2.25,49.0167
56,Hennebont,14600,-3.28333,47.8
68,Illzach,14600,7.33333,47.7833
94,Saint-Maurice,14600,2.45833,48.8167
95,Domont,14600,2.33333,49.0333
2,Tergnier,14500,3.3,49.65
21,Chenôve,14500,5,47.2833
25,Audincourt,14500,6.83333,47.4833
42,Saint-Just-Saint-Rambert,14500,4.24,45.4995
59,Haubourdin,14500,2.98333,50.6
78,Carrières-sous-Poissy,14500,2.03333,48.95
6,Villeneuve-Loubet,14400,7.11667,43.65
61,Argentan,14400,-0.016667,48.75
62,Outreau,14400,1.58333,50.7
91,Juvisy-sur-Orge,14400,2.38333,48.6833
54,Pont-à-Mousson,14300,6.06667,48.9
68,Wittenheim,14300,7.33333,47.8167
85,Fontenay-le-Comte,14300,-0.816667,46.4667
95,Saint-Brice-sous-Forêt,14300,2.36667,49
51,Vitry-le-François,14200,4.58333,48.7333
54,Longwy,14200,5.76667,49.5167
63,Issoire,14200,3.25,45.55
77,Avon,14200,2.71667,48.4
6,Beausoleil,14100,7.43333,43.75
23,Guéret,14100,1.86667,46.1667
33,Bruges,14100,-0.616667,44.8833
64,Hendaye,14100,-1.775,43.3583
84,Bollène,14100,4.75,44.2833
91,Courcouronnes,14100,2.4,48.6167
95,Montmagny,14100,2.35,48.9667
37,Saint-Avertin,14000,0.733333,47.3667
44,Pornic,14000,-2.1,47.1167
59,Caudry,14000,3.41667,50.1333
13,Berre-l'Étang,13900,5.18333,43.4667
28,Châteaudun,13900,1.33333,48.0833
59,Anzin,13900,3.5,50.3667
83,Saint-Maximin-la-Sainte-Baume,13900,5.86667,43.45
10,Romilly-sur-Seine,13800,3.71667,48.5167
29,Guipavas,13800,-4.4,48.4333
60,Noyon,13800,3,49.5833
60,Crépy-en-Valois,13800,2.9,49.2333
64,Saint-Jean-de-Luz,13800,-1.66667,43.3833
27,Val-de-Reuil,13700,1.21028,49.2745
56,Pontivy,13700,-2.98333,48.0667
77,Coulommiers,13700,3.08333,48.8167
83,Sainte-Maxime,13700,6.63333,43.3
78,Bois-d'Arcy,13600,2.01667,48.8
93,Le Bourget,13600,2.41667,48.9333
93,Le Raincy,13600,2.51667,48.9
6,Roquebrune-Cap-Martin,13500,7.46667,43.7667
14,Bayeux,13500,-0.7,49.2667
22,Plérin,13500,-2.78333,48.5333
30,Saint-Gilles,13500,4.43333,43.6833
36,Issoudun,13500,2,46.95
13,Bouc-Bel-Air,13400,5.41667,43.45
57,Creutzwald,13400,6.69584,49.2053
74,Rumilly,13400,5.95,45.8667
3,Cusset,13300,3.46667,46.1333
13,Tarascon,13300,4.66667,43.8
53,Mayenne,13300,-0.616667,48.3
59,Bailleul,13300,2.73333,50.7333
64,Billère,13300,-0.4,43.3
10,La Chapelle-Saint-Luc,13200,4.05,48.3333
57,Freyming-Merlebach,13200,6.79889,49.1417
59,Mouvaux,13200,3.13333,50.7
59,Raismes,13200,3.48333,50.3833
85,Château-d'Olonne,13200,-1.73333,46.5
91,Mennecy,13200,2.43333,48.5667
95,Arnouville,13200,2.41667,48.9833
29,Plougastel-Daoulas,13100,-4.36667,48.3667
33,Ambarès-et-Lagrave,13100,-0.486667,44.9248
50,Granville,13100,-1.6,48.8333
68,Kingersheim,13100,7.33333,47.8
68,Rixheim,13100,7.4,47.7667
81,Gaillac,13100,1.91667,43.9
31,Balma,13000,1.5,43.6167
42,Le Chambon-Feugerolles,13000,4.31667,45.4
45,Châlette-sur-Loing,13000,2.73333,48.0167
59,Fourmies,13000,4.05,50
76,Bois-Guillaume,13000,1.13333,49.4667
82,Castelsarrasin,13000,1.1,44.0333
83,Ollioules,13000,5.85,43.1333
85,Olonne-sur-Mer,13000,-1.78333,46.5333
26,Pierrelatte,12900,4.7,44.3833
57,Sarrebourg,12900,7.05,48.7333
1,Ambérieu-en-Bugey,12800,5.35,45.95
30,Villeneuve-lès-Avignon,12800,4.79584,43.9664
59,Wattignies,12800,3.05,50.5833
59,Lys-lez-Lannoy,12800,3.21445,50.6714
60,Méru,12800,2.13333,49.2333
78,Fontenay-le-Fleury,12800,2.05,48.8167
49,Avrillé,12700,-0.583333,47.5
59,Roncq,12700,3.11667,50.75
62,Harnes,12700,2.9,50.45
67,Bischwiller,12700,7.86667,48.7667
93,Villetaneuse,12700,2.34167,48.9583
57,Woippy,12600,6.15,49.15
77,Nemours,12600,2.7,48.2667
91,Épinay-sous-Sénart,12600,2.51667,48.6833
3,Yzeure,12500,3.35,46.5667
6,Valbonne,12500,7,43.6333
40,Saint-Paul-lès-Dax,12500,-1.05,43.7333
56,Auray,12500,-2.98333,47.6667
60,Montataire,12500,2.43333,49.2667
37,Amboise,12400,0.983333,47.4167
40,Biscarrosse,12400,-1.16667,44.3917
59,Comines,12400,3.01667,50.7667
66,Canet-en-Roussillon,12400,3.00778,42.7067
44,Saint-Brevin-les-Pins,12300,-2.16667,47.25
57,Stiring-Wendel,12300,6.93333,49.2
72,Sablé-sur-Sarthe,12300,-0.333333,47.8333
76,Barentin,12300,0.95,49.55
77,Provins,12300,3.3,48.55
77,Saint-Fargeau-Ponthierry,12300,2.54528,48.5333
82,Moissac,12300,1.08333,44.1
13,Rognac,12200,5.23333,43.4833
14,Vire,12200,-0.883333,48.8333
31,L'Union,12200,1.48333,43.6667
38,Seyssinet-Pariset,12200,5.65,45.1667
44,Châteaubriant,12200,-1.38333,47.7167
48,Mende,12200,3.5,44.5167
57,Fameck,12200,6.11667,49.3
59,Seclin,12200,3.03333,50.55
59,Somain,12200,3.28333,50.3667
68,Riedisheim,12200,7.36667,47.75
69,Francheville,12200,4.76667,45.7333
78,Andrésy,12200,2.06667,48.9833
81,Graulhet,12200,2,43.7667
94,Valenton,12200,2.46667,48.75
2,Chauny,12100,3.21667,49.6167
49,Trélazé,12100,-0.466667,47.45
62,Méricourt,12100,2.86667,50.4
62,Nœux-les-Mines,12100,2.66667,50.4833
78,Aubergenville,12100,1.85,48.9667
78,Voisins-le-Bretonneux,12100,2.05,48.75
95,Enghien-les-Bains,12100,2.31667,48.9667
13,Auriol,12000,5.63333,43.3833
59,Bruay-sur-l'Escaut,12000,3.53333,50.3833
62,Bully-les-Mines,12000,2.71667,50.4333
63,Thiers,12000,3.56667,45.85
67,Saverne,12000,7.36667,48.7333
77,Vaires-sur-Marne,12000,2.65,48.8667
12,Villefranche-de-Rouergue,11900,2.05,44.35
59,Marly,11900,3.55,50.35
60,Pont-Sainte-Maxence,11900,2.6,49.3
64,Lons,11900,-0.4,43.3167
78,Triel-sur-Seine,11900,2,48.9833
21,Talant,11800,5,47.3167
28,Vernouillet,11800,1.36667,48.7167
33,Arcachon,11800,-1.16355,44.6589
74,Bonneville,11800,6.41667,46.0833
76,Bolbec,11800,0.483333,49.5667
83,Saint-Cyr-sur-Mer,11800,5.71667,43.1833
91,Morangis,11800,2.33333,48.7
22,Lamballe,11700,-2.51667,48.4667
27,Gisors,11700,1.78333,49.2833
29,Plouzané,11700,-4.61667,48.3833
31,Saint-Gaudens,11700,0.733333,43.1167
44,Sainte-Luce-sur-Loire,11700,-1.5,47.25
62,Étaples,11700,1.65,50.5167
69,Genas,11700,5,45.7333
5,Briançon,11600,6.65,44.9
13,Châteauneuf-les-Martigues,11600,5.16667,43.3833
31,Ramonville-Saint-Agne,11600,1.46667,43.55
40,Tarnos,11600,-1.46667,43.5333
68,Guebwiller,11600,7.2,47.9167
76,Oissel,11600,1.1,49.3333
76,Yvetot,11600,0.766667,49.6167
76,Maromme,11600,1.03333,49.4667
6,Carros,11500,7.18333,43.8
7,Aubenas,11500,4.38333,44.6167
11,Castelnaudary,11500,1.95,43.3167
25,Valentigney,11500,6.83333,47.4667
38,Le Pont-de-Claix,11500,5.7,45.1167
39,Saint-Claude,11500,5.86667,46.3833
45,Amilly,11500,2.77028,47.9731
59,Gravelines,11500,2.125,50.9833
62,Saint-Martin-Boulogne,11500,1.63333,50.7167
87,Saint-Junien,11500,0.9,45.8833
1,Bellegarde-sur-Valserine,11400,5.81667,46.1
18,Saint-Amand-Montrond,11400,2.50555,46.7236
49,Ponts-de-Cé,11400,-0.516667,47.4167
53,Château-Gontier,11400,-0.7,47.8333
69,Mions,11400,4.95,45.6667
69,Brignais,11400,4.75,45.6667
73,La Motte-Servolex,11400,5.88333,45.6
74,Saint-Julien-en-Genevois,11400,6.08333,46.1333
94,La Queue-en-Brie,11400,2.58333,48.7833
95,L'Isle-Adam,11400,2.23333,49.1167
74,Passy,11300,6.68333,45.9167
74,Gaillard,11300,6.21667,46.1833
77,Claye-Souilly,11300,2.7,48.95
77,Vaux-le-Pénil,11300,2.66667,48.5333
83,Roquebrune-sur-Argens,11300,6.63333,43.4333
10,Saint-André-les-Vergers,11200,4.05,48.2833
30,Vauvert,11200,4.28333,43.7
31,Fonsorbes,11200,1.23333,43.5333
59,Saint-Saulve,11200,3.55,50.3667
62,Auchel,11200,2.46667,50.5
64,Oloron-Sainte-Marie,11200,-0.6,43.2
68,Cernay,11200,7.16667,47.8167
83,Le Pradet,11200,6.01667,43.1
13,Plan-de-Cuques,11100,5.46667,43.35
28,Nogent-le-Rotrou,11100,0.833333,48.3167
29,Quimperlé,11100,-3.55,47.8667
58,Cosne-Cours-sur-Loire,11100,2.9275,47.4122
66,Saint-Estève,11100,2.85,42.7
72,Allonnes,11100,0.15,47.9667
83,Cogolin,11100,6.53333,43.25
84,Apt,11100,5.4,43.8833
13,Saint-Martin-de-Crau,11000,4.81667,43.6333
22,Ploufragan,11000,-2.78333,48.4833
22,Dinan,11000,-2.23639,48.4564
35,Dinard,11000,-2.06667,48.6333
37,Chambray-lès-Tours,11000,0.716667,47.3333
60,Chantilly,11000,2.46667,49.2
62,Longuenesse,11000,2.23333,50.7333
63,Beaumont,11000,3.1,45.75
83,Solliès-Pont,11000,6.05,43.1833
57,Florange,10900,6.11667,49.3333
67,Obernai,10900,7.48333,48.4667
92,Ville-d'Avray,10900,2.19167,48.825
7,Guilherand-Granges,10800,4.87473,44.9345
14,Ifs,10800,-0.35,49.1333
29,Le Relecq-Kerhuon,10800,-4.4,48.4
31,Castanet-Tolosan,10800,1.5,43.5167
31,Saint-Orens-de-Gameville,10800,1.53333,43.55
33,Andernos-les-Bains,10800,-1.1,44.7429
59,Vieux-Condé,10800,3.33333,50.4833
59,Saint-André-lez-Lille,10800,3.04389,50.6603
67,Ostwald,10800,7.71667,48.55
84,Monteux,10800,5,44.0333
13,Saint-Rémy-de-Provence,10700,4.83333,43.7833
6,La Trinité,10600,7.31667,43.75
7,Tournon-sur-Rhône,10600,4.83278,45.0673
12,Onet-le-Château,10600,2.53333,44.3833
38,Sassenage,10600,5.66667,45.2
57,Maizières-lès-Metz,10600,6.15,49.2167
66,Saint-Cyprien,10600,3,42.6167
13,Septèmes-les-Vallons,10500,5.36667,43.4
27,Bernay,10500,0.6,49.1
34,Mèze,10500,3.6,43.4167
42,Riorges,10500,4.03333,46.0333
44,Pornichet,10500,-2.35,47.25
60,Clermont,10500,2.4,49.3833
67,Hœnheim,10500,7.75,48.6167
70,Héricourt,10500,6.75,47.5833
93,Dugny,10500,2.41667,48.95
19,Ussel,10400,2.31667,45.55
37,Montlouis-sur-Loire,10400,0.833333,47.3833
51,Tinqueux,10400,3.98333,49.25
63,Pont-du-Château,10400,3.25,45.8
63,Gerzat,10400,3.15,45.8333
64,Orthez,10400,-0.766667,43.4833
68,Wittelsheim,10400,7.25,47.8167
79,Parthenay,10400,-0.25,46.65
81,Lavaur,10400,1.81667,43.7
84,Pernes-les-Fontaines,10400,5.05,44
85,Saint-Hilaire-de-Riez,10400,-1.95,46.7167
89,Joigny,10400,3.4,47.9833
95,Persan,10400,2.26667,49.15
6,Mouans-Sartoux,10300,6.96667,43.6167
16,Soyaux,10300,0.2,45.65
28,Mainvilliers,10300,1.46667,48.45
37,Fondettes,10300,0.6,47.4
62,Courrières,10300,2.93333,50.45
67,Erstein,10300,7.66667,48.4333
69,Tarare,10300,4.43333,45.9
2,Villers-Cotterêts,10200,3.08333,49.25
13,Trets,10200,5.68333,43.45
35,Betton,10200,-1.65,48.1833
35,Saint-Jacques-de-la-Lande,10200,-1.71667,48.0667
42,Roche-la-Molière,10200,4.31667,45.4333
62,Oignies,10200,2.98333,50.4667
62,Montigny-en-Gohelle,10200,2.93333,50.4333
76,Déville-lès-Rouen,10200,1.03333,49.4667
77,Lieusaint,10200,2.55,48.6333
81,Carmaux,10200,2.15,44.05
91,Arpajon,10200,2.25,48.5833
91,Épinay-sur-Orge,10200,2.33333,48.6667
91,Igny,10200,2.21667,48.7333
10,Sainte-Savine,10100,4.05,48.3
26,Bourg-de-Péage,10100,5.05,45.0333
37,La Riche,10100,0.65,47.3833
56,Guidel,10100,2.51139,47.7906
56,Saint-Avé,10100,-2.75,47.6833
57,Amnéville,10100,6.15,49.2667
57,Rombas,10100,6.08333,49.25
59,Aniche,10100,3.25,50.3333
62,Sallaumines,10100,2.86667,50.4167
62,Le Portel,10100,1.56667,50.7
74,La Roche-sur-Foron,10100,6.31667,46.0667
78,Croissy-sur-Seine,10100,2.13333,48.8667
87,Panazol,10100,1.3,45.8333
11,Lézignan-Corbières,10000,2.76667,43.2
30,Pont-Saint-Esprit,10000,4.65,44.25
31,Saint-Jean,10000,1.5,43.6667
46,Figeac,10000,2.03333,44.6
54,Dombasle-sur-Meurthe,10000,6.35,48.6333
59,Douchy-les-Mines,10000,3.38333,50.3
62,Lillers,10000,2.48333,50.5667
63,Aubière,10000,3.11667,45.75
66,Argelès-sur-Mer,10000,3.01667,42.55
81,Mazamet,10000,2.4,43.5
83,La Londe-les-Maures,10000,6.23333,43.1333
14,Mondeville,9900,-0.316667,49.1667
54,Saint-Max,9900,6.21667,48.7
59,Jeumont,9900,4.1,50.3
59,Bondues,9900,3.1,50.7
67,Brumath,9900,7.71667,48.7333
69,Pierre-Bénite,9900,4.81667,45.7
78,Villepreux,9900,2.01667,48.8333
79,Thouars,9900,-0.216667,46.9667
83,Cuers,9900,6.06667,43.2333
84,Vedène,9900,4.9,43.9833
84,Valréas,9900,4.98333,44.3833
86,Buxerolles,9900,0.483333,46.6167
94,Ormesson-sur-Marne,9900,2.55,48.7833
11,Limoux,9800,2.23333,43.0667
21,Chevigny-Saint-Sauveur,9800,5.13333,47.3
31,Portet-sur-Garonne,9800,1.41667,43.5167
59,Marquette-lez-Lille,9800,3.06611,50.6759
59,Annœullin,9800,2.93333,50.5333
59,Wambrechies,9800,3.05,50.6833
64,Lescar,9800,-0.416667,43.3333
80,Albert,9800,2.65,50
83,Carqueiranne,9800,6.08333,43.0833
83,Vidauban,9800,6.43333,43.4167
85,Luçon,9800,-1.16667,46.45
1,Gex,9700,6.06667,46.3333
9,Foix,9700,1.6,42.9667
22,Loudéac,9700,-2.75,48.1667
38,Voreppe,9700,5.63333,45.3
59,Condé-sur-l'Escaut,9700,3.58333,50.45
59,Neuville-en-Ferrain,9700,3.15,50.75
62,Arques,9700,2.28333,50.7333
62,Aire-sur-la-Lys,9700,2.4,50.6333
91,Bures-sur-Yvette,9700,2.16667,48.7
95,Fosses,9700,2.48333,49.1
21,Quetigny,9600,5.11667,47.3167
29,Fouesnant,9600,-4.01667,47.9
35,Redon,9600,-2.08333,47.65
42,Andrézieux-Bouthéon,9600,4.26028,45.5262
76,Caudebec-lès-Elbeuf,9600,1.03333,49.2833
91,Villebon-sur-Yvette,9600,2.25,48.7
91,Dourdan,9600,2.01667,48.5333
54,Villerupt,9500,5.93333,49.4667
57,Marly,9500,6.14973,49.0612
60,Gouvieux,9500,2.41667,49.1833
69,Chassieu,9500,4.96667,45.75
76,Grand-Couronne,9500,1,49.35
2,Hirson,9400,4.08333,49.9167
21,Longvic,9400,5.06667,47.2833
26,Portes-lès-Valence,9400,4.88333,44.8667
38,Eybens,9400,5.75,45.15
45,La Chapelle-Saint-Mesmin,9400,1.83333,47.8833
47,Le Passage,9400,0.616667,44.2
50,Coutances,9400,-1.43333,49.05
54,Jarville-la-Malgrange,9400,6.21667,48.6667
58,Varennes-Vauzelles,9400,3.14639,47.0123
60,Chambly,9400,2.25,49.1667
60,Lamorlaye,9400,2.43333,49.15
62,Isbergues,9400,2.45,50.6167
69,Corbas,9400,4.9,45.6667
76,Darnétal,9400,1.15,49.45
77,Thorigny-sur-Marne,9400,2.71667,48.8833
78,Vernouillet,9400,1.98333,48.9667
91,Bondoufle,9400,2.38333,48.6167
94,Villecresnes,9400,2.53333,48.7167
95,Méry-sur-Oise,9400,2.2,49.0667
14,Ouistreham,9300,-0.25,49.2833
24,Sarlat-la-Canéda,9300,1.21667,44.8833
44,Pontchâteau,9300,-2.08333,47.4333
57,Hagondange,9300,6.16667,49.25
67,Molsheim,9300,7.48333,48.5333
69,Feyzin,9300,4.85,45.6667
72,La Ferté-Bernard,9300,0.666667,48.1833
76,Lillebonne,9300,0.55,49.5167
78,Chanteloup-les-Vignes,9300,2.03333,48.9833
6,Biot,9200,7.1,43.6333
13,Gignac-la-Nerthe,9200,5.23333,43.3917
13,Pélissanne,9200,5.15,43.6333
47,Tonneins,9200,0.316667,44.3833
59,Leers,9200,3.25,50.6833
91,Saint-Germain-lès-Arpajon,9200,2.25,48.6
18,Saint-Doulchard,9100,2.35,47.1
31,Revel,9100,2,43.4667
33,Biganos,9100,-0.983333,44.65
35,Pacé,9100,-1.76667,48.15
62,Marck,9100,1.95,50.95
71,Paray-le-Monial,9100,4.11667,46.45
76,Petit-Couronne,9100,1.0275,49.3856
76,Gonfreville-l'Orcher,9100,0.233333,49.5
91,Crosne,9100,2.45,48.7167
91,Fleury-Mérogis,9100,2.36667,48.6333
95,Ézanville,9100,2.36667,49.0333
1,Miribel,9000,4.95306,45.8245
3,Domérat,9000,2.53333,46.35
21,Fontaine-lès-Dijon,9000,5.01917,47.3434
26,Livron-sur-Drôme,9000,4.85,44.7667
29,Landivisiau,9000,-4.06667,48.5167
33,Léognan,9000,-0.6,44.7333
33,Saint-André-de-Cubzac,9000,-0.441667,44.9917
44,Blain,9000,-1.75,47.4833
59,Escaudain,9000,3.35,50.3333
71,Saint-Vallier,9000,4.36667,46.6333
74,Chamonix-Mont-Blanc,9000,6.86667,45.9167
77,La Ferté-sous-Jouarre,9000,3.13333,48.95
83,Le Beausset,9000,5.8,43.2
83,Le Luc,9000,6.31667,43.3833
95,Louvres,9000,2.5,49.0333
13,Fuveau,8900,5.56667,43.45
49,Saint-Barthélemy-d'Anjou,8900,-0.5,47.4667
